#,System / Application,Purpose / Usage,URL,Services Mode,Target Customer,Software Component,Third-party Modules,External APIs or Services,Critical Level,Data Category,Is the application/system currently in use?,Application/System Developer,Vendor's Name,Does the agency have expertise?,Does the agency have a special budget allocation?,Link to CBOM
1,P-Cert Endpoint Server,P-Cert Remote policy management and scan data ingest,https://192.168.0.236:2001,Online,Internal NCII,"Pcert.jar (Endpoint Server), Pcert_remote.jar (Agent), Java 8 Runtime","OpenJDK 1.8.0_482, TLS/X.509",License Manager (refer P-Cert configuration),Sangat Tinggi,Sulit,Ya,Data-Warehouse GmbH,Data-Warehouse GmbH,Perlu disahkan oleh pemilik sistem,Perlu disahkan oleh pemilik sistem,CBOM #1 - CBOM #4
2,OpenSSH Service (target host),Administrative access and SSH Scan,ssh://192.168.0.236:22,Online,Internal NCII,OpenSSH_10.2 (host keys RSA/ECDSA/ED25519),OpenSSH / libcrypto,N/A,Sangat Tinggi,Sulit,Ya,Apple / OpenSSH Project,Apple,Perlu disahkan oleh pemilik sistem,Perlu disahkan oleh pemilik sistem,CBOM #5 - CBOM #7
